epoch,train_loss,eval_loss_mean,auc_roc,auc_pr,eer,eer_th,fpr_at_target_fnr,threshold_at_target_fnr,lr
35,0.00319565087556839,0.1385953575372696,0.5767594982223299,0.6089755879711618,0.4640550799415022,0.09613978012705107,0.7353303646252691,0.012422251599372089,5e-05
36,0.003139307489618659,0.15602929890155792,0.5752056500113908,0.6078582080481764,0.46617480322723764,0.103200962947705,0.7399148824293015,0.012885850617033014,5.3125000000000024e-05
37,0.003083807649090886,0.14899112284183502,0.5756102732061021,0.6078879095508033,0.46569827628703353,0.09969898061252569,0.7377787271801107,0.012984497815165447,5.624999999999998e-05
38,0.0030331083107739687,0.1454096883535385,0.5755631965565577,0.6081778354193554,0.4662569630445142,0.09732202557057175,0.7380580705588511,0.012551426707446264,5.937500000000001e-05
39,0.002979093696922064,0.16674955189228058,0.575127353031299,0.6080613518310168,0.46509029363918697,0.102894847778599,0.7422975171303219,0.012042028690874621,6.250000000000003e-05
40,0.0029260225128382444,0.16631777584552765,0.5760770019042563,0.6085416238352187,0.46397292012422564,0.10492268118522365,0.7437106659874788,0.012346998777132107,6.562499999999998e-05
41,0.002874714322388172,0.16897913813591003,0.5754496363055454,0.6083524525082397,0.4646794945528041,0.10298576689382125,0.7455346139310186,0.011901737454955489,6.875e-05
42,0.0028229302261024714,0.1628778725862503,0.575303775771551,0.6082705697333833,0.46632269089833545,0.09402779127122034,0.7417223984093859,0.010611025854654904,6.562499999999998e-05
43,0.0027720490470528603,0.1403597742319107,0.576089898283068,0.6081187397584437,0.4642686954664213,0.08714849646669859,0.7443843764891467,0.0104339834364436,6.250000000000003e-05
44,0.0027201129123568535,0.1750638335943222,0.574363652747667,0.6074068878095393,0.4654189329082932,0.09292321148162042,0.7445322641602445,0.010797173201012143,5.937500000000001e-05
45,0.0026761991903185844,0.1538495570421219,0.5743594078936187,0.6070743963105582,0.46694710550963736,0.09078862292793032,0.7454524541137421,0.011134338988136337,5.624999999999998e-05
46,0.0026322267949581146,0.18548211455345154,0.5738795118523106,0.6074940095285346,0.46385789638003844,0.09977536302540763,0.7499383801370426,0.011771532337527079,5.3125000000000024e-05
